type,id,name,file
category,e49e2e13-1fbb-4b38-d20e-08de43eb53cb,Tiktok Mic,categories/tiktok-mic.svg
category,da6d4ca7-bfee-4781-77e4-08de60a69505,Tool Charges,categories/tool-charges.svg
category,59a4c2db-3e16-42bf-ff6e-08de3f9d3698,Units,categories/units.svg
category,399723e3-f288-4573-29e5-08de3faac42f,USB Drives,categories/usb-drives.svg
category,97f31976-8887-48b7-29ef-08de3faac42f,VGA Cable,categories/vga-cable.svg
category,3a273d60-c4c1-477b-9dc0-08de6c60dbab,Vivo,categories/vivo.svg
category,538716be-8006-4df8-29ec-08de3faac42f,Wired,categories/wired.svg
category,f93f8cd0-5fbd-4e30-29ed-08de3faac42f,Wireless,categories/wireless.svg
brand,1593e723-e541-482e-d6b9-08de712ae6b3,1 Plus,brands/1-plus.svg
brand,664967d5-2d6c-47a3-0b33-08de3fbad2da,A.T,brands/a-t.svg
brand,60ab0445-9e53-4395-0b34-08de3fbad2da,A.T Alfa,brands/a-t-alfa.svg
brand,ce9e9d1d-a368-4e17-71ff-08de4517b798,AL Catel,brands/al-catel.svg
brand,a625808d-721b-4fb8-18bc-08de415653a5,ANC,brands/anc.svg
brand,4d5d4bdb-f2e3-4d07-0aeb-08de41f11bb1,AORAX,brands/aorax.svg
brand,d79ed6d1-30b1-418b-b2f5-08de42d31a7f,Asus,brands/asus.svg
brand,bac343bb-5000-434c-18be-08de415653a5,Ayunwish,brands/ayunwish.svg
brand,a7749f5f-944c-44e0-7764-08de42e978fa,Bloves,brands/bloves.svg
brand,dbfd9ae8-6c90-480b-e4f3-08de43dc3d47,Boya,brands/boya.svg
brand,74dcbd4e-7d54-4725-7aa5-08de42dfdf58,Calme,brands/calme.svg
brand,f2a4e873-641a-4da0-aa7d-08de60a69de9,Charges,brands/charges.svg
brand,274a1ea0-52e9-4689-0b2f-08de3fbad2da,Club,brands/club.svg
brand,a8671155-ff8b-49c9-0b3e-08de3fbad2da,Dell,brands/dell.svg
brand,476d5b59-533c-4405-0b42-08de3fbad2da,DG,brands/dg.svg
brand,366bf635-c0b9-4f71-71fa-08de4517b798,Digit/Jazz,brands/digit-jazz.svg
brand,4375cb30-1a18-411a-0aed-08de41f11bb1,EFINIYA,brands/efiniya.svg
brand,4ea19833-8532-48f5-0b2a-08de3fbad2da,E-Tachi,brands/e-tachi.svg
brand,fc6e4872-5380-4d49-0b26-08de3fbad2da,F.M.A,brands/f-m-a.svg
brand,12fe96b9-b329-4fd1-0b23-08de3fbad2da,Fast X,brands/fast-x.svg
